5249    0    0
73    1    0
5329    0    1
8930    0    0
7544    0    0
7923    0    0
4440    0    0
4492    0    0
7987    0    0
2503    1    0
1729    0    0
2612    0    0
3169    1    0
7157    0    0
933    0    0
278    0    0
5335    0    0
7826    0    0
9267    0    0
7633    0    0
9149    0    0
8821    1    0
672    0    0
9336    0    0
1745    0    0
4091    1    0
37636    0    1
5001    0    0
1153    1    0
7944    0    0
1490    0    0
2196    0    0
903    0    0
4666    0    0
8024    0    0
6853    0    0
977    1    0
8228    0    0
4933    1    0
8981    0    0
8013    0    0
9814    0    0
4536    0    0
1669    1    0
94    0    0
8836    0    1
6501    0    0
4195    0    0
11025    0    1
9451    0    0
2188    0    0
1123    1    0
6882    0    0
1566    0    0
337    1    0
3144    0    0
4897    0    0
5828    0    0
9358    0    0
2397    0    0
7904    0    0
1609    1    0
9745    0    0
3635    0    0
8142    0    0
7968    0    0
260    0    0
3557    1    0
8008    0    0
5968    0    0
4530    0    0
962    0    0
5365    0    0
9852    0    0
3821    1    0
4712    0    0
3671    1    0
9901    1    0
4831    1    0
3057    0    0
