  679.82    -379.579      1
 628.654     106.193      3
 813.169     303.502     12
 836.681     92.8114     -2
 392.191     142.941      7
 989.512     84.8012      3
 676.649     121.441      8
 645.554     225.442     15
 595.593    -226.906      7
 232.904    -22.9907      1
 806.942    -87.6272     -4
 552.555     213.582     13
 909.976    -393.746      7
 290.739     259.516      7
 936.987     126.304     11
 579.839      284.83      1
 516.943    -315.569      2
 288.088      92.956     -3
 414.141    -230.718     10
 428.583    -140.888      1
 903.679    -78.7606      1
 763.741     277.475     -3
  987.73    -73.4796      2
 942.963       -152.     12
