49.86 b
49.88 b
49.89 b
49.89 b
49.9 b
49.91 b
49.92 b
49.93 b
49.93 b
49.94 b
49.94 b
49.94 b
49.96 b
49.96 b
49.96 b
49.96 b
49.97 b
49.97 b
49.97 b
49.98 b
49.99 b
49.99 b
49.99 b
49.99 b
49.99 b
49.99 b
50 b
50 b
50 b
50.01 b
50.02 b
50.03 b
50.03 b
50.04 b
50.04 b
50.04 b
50.04 b
50.04 b
50.06 b
50.06 b
50.06 b
50.07 b
50.07 b
50.08 b
50.08 b
50.09 b
50.1 b
50.1 b
50.11 b
50.17 b
69.89 g
69.91 g
69.92 g
69.93 g
69.93 g
69.94 g
69.95 g
69.96 g
69.96 g
69.97 g
69.97 g
69.97 g
69.97 g
69.98 g
69.99 g
69.99 g
69.99 g
69.99 g
69.99 g
70 g
70.01 g
70.02 g
70.02 g
70.02 g
70.03 g
70.03 g
70.03 g
70.03 g
70.04 g
70.04 g
70.04 g
70.05 g
70.06 g
70.06 g
70.06 g
70.07 g
70.07 g
70.1 g
70.11 g
70.12 g
89.86 r
89.87 r
89.9 r
89.91 r
89.91 r
89.92 r
89.93 r
89.93 r
89.93 r
89.94 r
89.94 r
89.94 r
89.95 r
90 r
90.01 r
90.02 r
90.03 r
90.03 r
90.04 r
90.04 r
90.05 r
90.06 r
90.09 r
90.09 r
90.11 r
90.12 r
90.13 r
90.15 r
90.15 r
90.01 r
