   0.621      -0.164
   0.332      -0.353
   0.678      -0.062
   0.236      -0.485
   0.341      -0.374
   0.364       0.338
   0.366       0.345
   0.337      -0.371
   0.112      -0.136
   0.242      -0.499
   0.333      -0.369
   0.679      -0.088
   0.609      -0.169
   0.547      -0.077
   0.239      -0.511
   0.368       0.326
    0.32      -0.563
   0.366       0.327
   0.315      -0.543
   0.191       0.753
   0.195       0.734
   0.194       0.704
   0.609      -0.163
   0.201       0.749
   0.325      -0.571
   0.595      -0.165
   0.337      -0.375
    0.34       0.169
   0.338       0.186
    0.37        0.34
   0.115      -0.138
   0.323      -0.538
   0.341      -0.355
   0.337       0.171
   0.239      -0.535
   0.502       0.358
   0.342      -0.377
    0.56        -0.1
   0.308      -0.535
   0.645      -0.074
   0.671      -0.067
    0.32      -0.545
   0.685      -0.079
   0.616      -0.158
   0.117      -0.147
   0.331       0.156
   0.511       0.367
    0.31      -0.551
   0.546      -0.085
   0.339      -0.375
   0.193       0.706
   0.317      -0.535
   0.239      -0.502
   0.319      -0.561
    0.67      -0.078
   0.596      -0.156
   0.234      -0.495
   0.335       0.157
   0.192       0.718
   0.341       0.164
   0.191       0.722
   0.506       0.349
   0.236      -0.513
   0.375       0.331
   0.245      -0.501
   0.342      -0.366
   0.372       0.331
   0.337       0.163
   0.374       0.313
   0.339       -0.37
   0.198       0.728
   0.686      -0.066
   0.119      -0.076
   0.106      -0.097
   0.563      -0.091
   0.547      -0.096
   0.123      -0.144
   0.622      -0.154
   0.314       -0.55
   0.364       0.352
   0.658       -0.07
     0.5        0.37
   0.115      -0.111
   0.596      -0.159
   0.553      -0.088
   0.244        -0.5
   0.111      -0.089
   0.515       0.361
   0.334       0.163
    0.12      -0.139
   0.549      -0.087
   0.327       0.165
   0.507       0.364
   0.509        0.36
   0.539      -0.095
   0.521       0.338
   0.597      -0.157
   0.116      -0.129
   0.676      -0.066
   0.504       0.352
   0.611       -0.17
   0.196       0.731
   0.245      -0.486
   0.499       0.348
   0.551      -0.097
   0.334       0.166
   0.196         0.7
    0.66      -0.068
   0.367       0.319
   0.538      -0.073
