2372		51
2832		65
2350		45
2750		52
2643		54
93		   70
2537		31
2257		66
2484		55
9		   75
2614		51
239		58
245		63
2257		49
2537		56
549		72
60		   53
2465		45
2542		41
2616		46
22		   73
340		57
550		66
2845		71
907		65
9		   60
2832		56
2805		56
895		54
2537		70
2684		41
2537		45
2506		46
2407		62
22		   90
192		79
2301		43
245		60
2648		48
9		   79
2350		68
659		66
2720		38
907		78
2465		60
2808		50
2218		61
2465		42
2030		51
2616		49
2970		43
2970		42
2542		37
2684		35
865		64
2828		51
2726		47
952		69
659		99
2643		52
2828		52
93		   59
2301		43
2622		54
2095		47
2553		65
2537		51
2720		52
2218		48
2484		48
2720		53
907		80
162		68
2407		49
2288		49
2456		60
2483		48
545		66
545		56
2218		66
754		55
2483		50
2095		64
192		77
2648		48
93		   81
2030		47
2808		48
2647		41
2542		62
2792		60
2832		50
192		71
549		58
2726		69
2218		50
2828		59
245		53
2792		52
2970		49
2407		44
545		78
192		90
2643		41
2970		72
550		60
2828		56
2616		43
2825		54
549		75
2095		51
139		83
895		61
2622		26
2542		62
139		75
2484		55
2484		56
2684		37
2828		44
139		61
239		64
549		60
139		91
754		69
2476		49
2649		66
2614		42
2647		45
952		57
2456		56
2726		52
798		74
2825		45
754		62
798		93
2483		51
2649		52
2649		54
2750		51
2845		50
2792		62
2648		51
2867		45
239		67
139		51
2643		69
550		65
895		56
2542		41
2825		62
162		88
2786		62
22		   63
9		   42
2566		39
2648		42
865		66
60		   72
2832		49
60		   90
754		61
2867		69
2808		49
2288		49
2506		43
245		76
2288		55
2845		58
2647		56
2684		50
2566		46
340		66
60		   64
2288		49
2476		45
2726		51
93		   72
550		67
2218		46
2553		40
2750		50
2726		55
340		64
2566		62
754		46
2030		62
545		60
2372		56
192		73
2786		60
2647		44
2301		55
659		56
2566		43
2257		45
907		72
2456		55
895		85
659		76
2970		43
239		65
2805		49
2095		41
22		   65
2553		50
2750		59
865		45
2372		27
550		64
952		64
2648		59
162		75
2465		54
2288		48
2792		40
340		66
798		67
2614		50
2030		47
2808		46
60		   56
2649		53
659		57
865		55
798		80
895		61
245		83
2456		48
2720		47
22		   69
2566		55
2350		43
2350		37
2506		58
2350		66
2750		67
162		79
340		65
2476		58
2622		61
2805		47
865		68
952		88
2786		39
2867		58
2030		36
