274 0 57
66 0 14
258 0 72
210 0 181
159 1 6
22 1 27
224 0 71
92 0 17
269 0 170
247 0 118
277 0 213
126 1 8
145 1 7
253 0 120
238 0 247
232 0 60
59 0 237
89 0 17
173 0 4
15 1 15
26 1 14
158 1 3
233 0 256
12 1 7
106 0 54
90 0 7
184 0 85
139 1 20
63 1 23
111 0 129
201 0 228
250 0 222
74 0 22
156 1 0
64 0 28
199 0 127
230 0 265
60 1 0
223 0 200
17 1 10
124 0 10
8 1 27
133 1 26
214 0 179
52 0 148
101 0 163
193 0 212
172 0 0
132 1 1
5 1 12
55 0 267
122 0 4
134 0 3
34 1 3
248 0 68
154 0 13
21 1 25
116 0 145
7 1 10
45 1 14
81 0 12
267 0 53
255 0 247
129 1 7
73 0 12
278 0 127
157 1 10
97 0 20
164 0 19
227 0 210
9 1 22
39 1 17
103 0 259
240 0 130
29 1 26
108 0 141
20 1 18
46 1 17
165 0 2
239 0 47
187 0 102
27 1 18
153 0 19
264 0 228
37 1 4
135 1 25
171 1 22
235 0 269
150 0 18
181 0 61
212 0 50
87 0 18
213 0 35
188 0 140
137 1 24
249 0 142
76 0 18
152 0 12
225 0 219
241 0 198
191 0 196
88 0 19
44 0 1
144 1 24
254 0 165
200 0 240
161 0 3
167 1 18
205 0 188
54 0 40
275 0 79
18 1 3
179 1 15
79 0 3
176 0 2
56 0 221
71 0 14
195 0 132
256 0 238
216 0 105
70 0 9
189 0 90
226 0 240
182 0 121
168 0 6
33 1 24
83 0 20
218 0 226
217 0 154
118 0 246
136 1 18
25 1 29
110 0 53
16 1 27
75 0 9
109 0 38
273 0 150
236 0 196
4 1 6
96 0 10
175 0 9
61 0 2
67 0 18
146 0 10
209 0 199
160 0 27
72 0 0
40 1 23
252 0 248
13 1 13
107 0 122
219 0 245
3 1 5
166 1 18
125 1 12
24 1 3
30 1 4
77 0 4
115 0 78
208 0 261
19 1 10
260 0 239
242 0 188
271 0 192
80 0 16
51 0 176
2 1 1
246 0 159
104 0 102
190 0 143
86 0 13
10 1 14
234 0 125
58 0 261
41 1 24
14 1 5
155 0 22
50 0 79
222 0 124
245 0 231
259 0 176
123 1 9
211 0 61
62 0 19
198 0 39
237 0 157
130 0 0
220 0 91
194 0 44
221 0 260
43 1 18
114 0 186
138 0 18
206 0 164
229 0 90
149 0 24
112 0 189
257 0 132
98 0 10
228 0 71
93 0 14
215 0 137
162 0 25
36 1 8
178 1 12
113 0 111
0 1 23
94 0 29
197 0 138
95 0 3
192 0 99
266 0 178
251 0 185
69 0 20
49 1 11
48 1 21
85 0 16
117 0 42
141 1 8
207 0 239
23 1 25
186 0 194
148 0 28
143 1 25
78 0 7
180 0 262
100 0 192
204 0 160
131 0 26
272 0 166
47 0 7
196 0 50
6 1 26
68 0 11
203 0 131
84 0 13
170 1 11
121 1 26
140 1 28
261 0 143
279 0 131
142 0 18
262 0 74
91 0 26
82 0 5
174 0 13
11 1 8
119 0 109
102 0 175
35 1 5
57 0 110
169 0 20
231 0 253
65 0 25
1 1 5
120 1 4
270 0 42
42 1 1
105 0 93
268 0 140
38 1 26
53 0 216
263 0 141
128 1 5
28 1 5
183 0 65
163 0 6
151 0 3
244 0 54
202 0 155
31 1 17
32 1 5
127 0 1
185 0 112
265 0 149
276 0 230
147 0 27
243 0 96
177 0 1
99 0 1
