x: 2.04 y: 1.78 m: 1.59
x: 0.13 y: -0.78 m: 0.57
x: 0.9 y: 1.74 m: 2.39
x: 1.49 y: -2.55 m: 1.98
x: 2.28 y: 3.71 m: 2.44
x: 4.47 y: -0.82 m: 2.21
x: 3.82 y: 5.19 m: 1.83
x: -1.18 y: 1.65 m: 1.32
x: -0.13 y: -3.76 m: 0.24
x: -1.19 y: 2.37 m: 2.03
x: -1.71 y: 0.28 m: 2.48
x: 0.06 y: -0.99 m: 2.9
x: 1.16 y: 1.6 m: 1.25
x: -0.69 y: 1.17 m: 2.59
x: -0.17 y: 1.79 m: 0.27
x: -3.33 y: 0.59 m: 1.6
x: 0.78 y: 1.36 m: 2.08
x: 0.73 y: -0.61 m: 0.2
x: 3.38 y: 2.1 m: 1.34
x: -1.13 y: -4.19 m: 0.2
x: -0.31 y: 1.68 m: 0.73
x: 2.52 y: 1.68 m: 2.7
x: 2.56 y: 2.39 m: 2.53
x: -1.59 y: 0.66 m: 0.92
x: -2.09 y: 2.34 m: 2.47
x: -1.62 y: 3.29 m: 1.15
x: 2.89 y: -2.06 m: 1.24
x: 0.17 y: 0.22 m: 1.92
x: 1.63 y: -2.23 m: 1.38
x: -1.66 y: 0.93 m: 0.22
x: -1.48 y: 0.86 m: 2.79
x: 0 y: 2.78 m: 0.87
x: 0.16 y: -0.9 m: 1.73
x: -1.25 y: -0.9 m: 2.33
x: -1.52 y: 4.22 m: 2.64
x: 3.22 y: 0.51 m: 2.39
x: 0.63 y: -0.94 m: 2.18
x: -3.56 y: 1.46 m: 1.25
x: -0.04 y: -1.49 m: 1.91
x: -1.64 y: 1.79 m: 2.38
x: 0.73 y: 0.72 m: 1.79
x: 0.45 y: -1.59 m: 1.37
x: -0.79 y: 1.76 m: 0.21
x: 1.12 y: 0.93 m: 2.09
x: 0.31 y: -0.61 m: 0.44
x: 0.16 y: 0 m: 2.42
x: -1.06 y: 1.81 m: 0.83
x: -0.16 y: 2.29 m: 2.01
x: 0.96 y: -2.58 m: 2.91
x: 4.37 y: 2.31 m: 0.29
x: 1.5 y: -0.28 m: 0.35
x: 0.5 y: -2.9 m: 1.51
x: 1.81 y: -0.22 m: 1.33
x: 0.88 y: -2.03 m: 1.12
x: -3.9 y: -0.34 m: 2.71
x: -2.83 y: -0.23 m: 0.6
x: -1.94 y: -2.36 m: 1.23
x: -3.92 y: -0.4 m: 1.83
x: 0.64 y: -1.3 m: 2.69
x: 1.76 y: -5.02 m: 1.04
x: -0.38 y: -1.07 m: 0.19
x: 3.84 y: 0.14 m: 1.32
x: 0.9 y: 0.13 m: 2.75
x: 2.81 y: 0.11 m: 1.71
x: -0.33 y: 2.95 m: 1.66
x: -0.1 y: 1.03 m: 1.05
x: 3.37 y: 1.84 m: 0.54
x: 0.99 y: -2.36 m: 0.88
x: -1.9 y: 1.39 m: 0.39
x: 4.03 y: -0.59 m: 0.59
x: -0.04 y: -4.09 m: 1.45
x: -0.6 y: -2.94 m: 2.36
x: 1.81 y: 1.6 m: 0.27
x: -3.21 y: -0.14 m: 0.44
x: 1.74 y: 3.8 m: 2.47
x: -2.14 y: 0.15 m: 2.49
x: 1.11 y: 0.36 m: 1.34
x: -0.25 y: 0.5 m: 1.38
x: -1.23 y: 0.72 m: 2.54
x: -1.41 y: -1 m: 0.45
x: 1.29 y: -1.07 m: 0.44
x: -1.15 y: -0.53 m: 2.54
x: 1.66 y: -0.32 m: 1.57
x: 2.53 y: 1.5 m: 1.95
x: 1.01 y: 0.14 m: 2.58
x: -0.54 y: 1.2 m: 2.66
x: 1.22 y: 2.86 m: 0.33
x: -2.18 y: 0.9 m: 2.27
x: 0.18 y: 2.1 m: 0.95
x: 0.5 y: 1.97 m: 1.85
x: 0.25 y: -0.85 m: 3
x: -0.99 y: -2.43 m: 1.54
x: 1.93 y: -2.99 m: 2.23
x: 1.92 y: -0.69 m: 0.94
x: -0.5 y: -2.24 m: 1.6
x: 1.71 y: 1.07 m: 2.22
x: 2.89 y: 3.07 m: 1.12
x: -0.46 y: 2.06 m: 2.39
