2.21		1.93
-0.83		1.06
2.1		0.83
3.14		1.5
1.59		0.36
1.1		1.36
-1.56		-0.09
-0.32		0.29
0.1		-0.54
-0.64		1.32
1.05		1.53
-0.68		2.92
2.37		-1.03
0.26		0.72
1.83		1.33
0.09		2.24
-1.06		2.9
-0.32		1.35
0.07		-0.34
-0.82		1.88
-1.31		1.04
-0.61		0.5
-1.04		1.37
-1.36		2.69
-1.28		2.37
-1.3		2.21
-2.57		2.42
-0.75		2.51
-1.26		0.33
1.22		-1.22
1.66		-0.85
1.56		-0.27
1.8		-0.37
1.65		-1.63
1.5		-1.72
1.83		0.23
1.78		-0.58
2.63		-2.38
1.99		-1.26
2.06		-3.08
1.26		-1.61
1.04		-0.34
1.98		-0.63
1.26		-2.32
1.17		-0.83
0.32		-1.95
1.13		-0.52
